attraction_id,city_id,city_nm,attraction_nm,address,theme,rate,longitude,latitude
A142,C01,서울,둔촌역전통시장,서울 강동구,Shopping,4.783,127.1237925,37.53019332
A143,C01,서울,혜양엘리시움,서울 중구 마장로1길 18-0,Shopping,4.781,127.0125803,37.56866358
A144,C01,서울,관악신사시장,서울 관악구 난곡로74길 58-0,Shopping,4.78,126.9169665,37.48630152
A145,C01,서울,뚝도시장,서울 성동구 성수이로 32-15,Shopping,4.778,127.054827,37.53780064
A146,C01,서울,삼양시장,서울 강북구,Shopping,4.777,127.0255381,37.63975133
A147,C01,서울,우이시장,서울 강북구 한천로162길 24-0,Shopping,4.775,127.0200724,37.64631813
A148,C01,서울,라시따델라모다,서울 서초구 매헌로 16-0,Shopping,4.774,127.0369479,37.46246735
A149,C01,서울,남부시장,서울 강서구 등촌로5길 62-4,Shopping,4.772,126.860019,37.53318161
A150,C01,서울,삼익패션타운,서울 중구 남대문시장8길 7-0,Shopping,4.771,126.9789566,37.56043529
A151,C01,서울,삼성동시장,서울 관악구 원신1길 34-0,Shopping,4.769,126.9327711,37.47034019
A152,C01,서울,현대시장,서울 동대문구 한천로11길 61-0,Shopping,4.768,127.0588426,37.56703311
A153,C01,서울,다이소망우2호점,서울 중랑구 망우로 416-0,Shopping,4.766,127.0983511,37.59916578
A154,C01,서울,다이소합정점,서울 마포구 독막로 33-1,Shopping,4.765,126.9173408,37.54838073
A155,C01,서울,무신사스탠다드홍대점,서울 마포구 양화로 144-0,Shopping,4.763,126.922394,37.55534364
A156,C01,서울,신동아쇼핑센터,서울 용산구 이촌로 352-0,Shopping,4.761,126.9851757,37.51738375
A157,C01,서울,다이소송파파크하비오점,서울 송파구 송파대로 111-0,Shopping,4.76,127.1249139,37.47966838
A158,C01,서울,고분다리전통시장,서울 강동구 구천면로34길 10-0,Shopping,4.758,127.1318232,37.54231975
A159,C01,서울,무지개쇼핑센터,서울 서초구 사임당로 151-0,Shopping,4.757,127.0256928,37.49206768
A160,C01,서울,남구로시장,서울 구로구 구로동로26길 25-0,Shopping,4.755,126.8855488,37.49030493
A161,C01,서울,디자이너클럽,서울 중구 을지로45길 72-0,Shopping,4.754,127.013071,37.56740493
A162,C01,서울,연서시장,서울 은평구 통일로 850-0,Shopping,4.752,126.921445,37.61932033
A163,C01,서울,천호로데오거리,서울 강동구,Shopping,4.751,127.1237925,37.53019332
A164,C01,서울,한강쇼핑센터,서울 용산구 이촌로 224-0,Shopping,4.749,126.9718771,37.52014579
A165,C01,서울,신세계면세점명동점,서울 중구 퇴계로 77-0,Shopping,4.748,126.9807761,37.56035992
A166,C01,서울,다이소매봉역점,서울 강남구 남부순환로 2748-0,Shopping,4.746,127.0471989,37.48661527
A167,C01,서울,목사랑시장,서울 양천구 목동중앙남로7길 8-0,Shopping,4.745,126.866218,37.53761613
A168,C01,서울,동대문종합시장A동,서울 종로구 종로 266-0,Shopping,4.743,127.0073287,37.57070649
A169,C01,서울,서울청과,서울 송파구 양재대로 932-0,Shopping,4.742,127.1087136,37.49453769
A170,C01,서울,aza쇼핑몰,서울 영등포구 영중로 28-0,Shopping,4.74,126.9058681,37.51885932
A171,C01,서울,다이소미아사거리점,서울 강북구 월계로 3-0,Shopping,4.739,127.0306496,37.60957479
A172,C01,서울,만리동시장,서울 용산구 효창원로 270-0,Shopping,4.737,126.963696,37.5513334
A173,C01,서울,메사,서울 중구 남대문시장10길 2-0,Shopping,4.735,126.9796012,37.5603736
A174,C01,서울,파크에비뉴엔터식스한양대점,서울 성동구 왕십리로 241-0,Shopping,4.734,127.040105,37.55715433
A175,C01,서울,나비쇼핑몰,서울 강동구 천호대로157길 14-0,Shopping,4.732,127.1272894,37.53823175
A176,C01,서울,한국청과,서울 송파구 양재대로 932-0,Shopping,4.731,127.1087136,37.49453769
A177,C01,서울,삼부프라자,서울 노원구 한글비석로 242-0,Shopping,4.729,127.0769736,37.6492349
A178,C01,서울,헌인가구단지,서울 서초구,Shopping,4.728,127.0326893,37.48358882
A179,C01,서울,신라아이파크면세점용산점,서울 용산구 한강대로23길 55-0,Shopping,4.726,126.9647415,37.5297718
A180,C01,서울,티몬,서울 강남구 테헤란로114길 38-0,Shopping,4.725,127.066993,37.50712432
A181,C01,서울,전곡시장,서울 동대문구 한천로 190-0,Shopping,4.723,127.068569,37.57789377
A182,C01,서울,다이소상일동역점,서울 강동구 고덕로 399-0,Shopping,4.722,127.1696789,37.55744052
A183,C01,서울,굿윌스토어밀알송파점,서울 송파구 마천로 226-0,Shopping,4.719,127.1429223,37.50021958
A184,C01,서울,아트프라자,서울 중구 마장로1길 28-0,Shopping,4.717,127.0128273,37.56919289
A185,C01,서울,불로장생타워,서울 동대문구 왕산로 117-0,Shopping,4.716,127.0364929,37.57849586
A186,C01,서울,여의도백화점,서울 영등포구 국제금융로6길 33-0,Shopping,4.714,126.926912,37.52079083
A187,C01,서울,동대문종합시장D동,서울 종로구 종로 266-0,Shopping,4.713,127.0073287,37.57070649
A188,C01,서울,장미원시장,서울 강북구 삼양로123길 14-5,Shopping,4.711,127.0145489,37.6449407
A189,C01,서울,모던하우스연희점,서울 서대문구 연희로 148-0,Shopping,4.709,126.9344602,37.57027587
A190,C01,서울,충신시장,서울 종로구 율곡로22길 7-0,Shopping,4.708,127.0054414,37.57485162
A191,C01,서울,청계천공구상가,서울 중구,Shopping,4.706,126.9975552,37.56380777
A192,C01,서울,다이소세곡점,서울 강남구 헌릉로569길 21-36,Shopping,4.705,127.1001617,37.46638458
A193,C01,서울,풍납전통시장,서울 송파구 바람드리길 50-0,Shopping,4.703,127.1210777,37.53726043
A194,C01,서울,아현시장,서울 마포구 굴레방로 27-10,Shopping,4.702,126.9550724,37.55671984
A195,C01,서울,이경시장,서울 동대문구 외대역동로 76-0,Shopping,4.7,127.0648528,37.59493067
A196,C01,서울,아이코스스토어가로수길점,서울 강남구 압구정로10길 27-0,Shopping,4.699,127.0221337,37.52188059
A197,C01,서울,제일프라자,서울 중랑구 동일로143길 19-0,Shopping,4.697,127.0776206,37.60500676
A198,C01,서울,아성다이소본사,서울 강남구 남부순환로 2748-0,Shopping,4.696,127.0471989,37.48661527
A199,C01,서울,고척근린시장,서울 구로구 경인로33길 103-0,Shopping,4.694,126.8501143,37.50238102
A200,C01,서울,봉천중앙시장,서울 관악구,Shopping,4.693,126.9515619,37.47836838
